Taxon,B.1,B.2,B.3,B.7,B.14,B.21,B.28,B.35,B.42,B.49
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales,0.0029,0.0076,0.0033,0.0012,0.0082,0.0073,0.0003,0.0034,0.0009,0.001
Archaea;Euryarchaeota;Thermoplasmata;E2,0.0001,0,0.0002,0.0001,0,0,0,0.0004,0.0001,0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales,0.0069,0.0104,0.0075,0.0105,0.021,0.0263,0.0076,0.0105,0.0182,0.0045
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales,0,0,0,0,0.0008,0,0,0,0,0.0001
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales,0.0057,0.013,0.0071,0.0129,0.0212,0.0113,0.0042,0.0162,0.0047,0.0035
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales,0.1451,0.2318,0.1373,0.1457,0.1728,0.2143,0.1764,0.0954,0.2261,0.2955
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales,0.0003,0.0001,0.0002,0.006,0.0064,0.0021,0.0017,0.0007,0.0007,0.0001
Bacteria;Bacteroidetes;Saprospirae;Saprospirales,0,0,0.0001,0,0,0.0003,0,0,0,0.0001
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales,0,0,0,0,0,0.0001,0.0001,0.0001,0,0
Bacteria;Deferribacteres;Deferribacteres;Deferribacterales,0.0001,0.0001,0.0001,0,0.0004,0.0001,0.0001,0,0.0001,0.0001
Bacteria;Elusimicrobia;Elusimicrobia;Elusimicrobiales,0.0033,0.0031,0.0018,0.0024,0.0022,0.0012,0.0036,0.0021,0.0025,0.0012
Bacteria;Elusimicrobia;Endomicrobia;Endomicrobiales,0.0815,0.1049,0.1103,0.0991,0.1576,0.1191,0.2105,0.1699,0.1647,0.0901
Bacteria;Fibrobacteres;TG3;Other,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Bacilli;Other,0.0007,0.001,0.0001,0.0002,0.0004,0.0001,0,0.0001,0.0001,0.0001
Bacteria;Firmicutes;Bacilli;Lactobacillales,0.0063,0.0212,0.0075,0.0082,0.0528,0.0248,0.018,0.0133,0.0093,0.0049
Bacteria;Firmicutes;Bacilli;Turicibacterales,0,0,0,0,0.0004,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales,0.141,0.1452,0.1275,0.1653,0.1766,0.1014,0.0603,0.1113,0.0727,0.2878
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales,0.0003,0.0005,0.0001,0.0002,0.0008,0.0009,0.0003,0.0002,0.0001,0.0001
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales,0.0008,0.0033,0.0023,0.0014,0.0016,0.0035,0.0051,0.0076,0.006,0.0008
Bacteria;Planctomycetes;Other;Other,0.0003,0,0.0007,0.0001,0.0002,0.0002,0.0001,0.0001,0.0003,0.0002
Bacteria;Planctomycetes;HA49;PeHg47,0,0,0,0,0,0,0,0,0,0
Bacteria;Planctomycetes;Planctomycetia;Pirellulales,0.0023,0.0023,0.0014,0.0012,0.0026,0.0035,0.0007,0.0023,0.0022,0.0007
Bacteria;Proteobacteria;Alphaproteobacteria;Other,0.0003,0.0003,0.0007,0.0005,0.0002,0,0.0005,0.0003,0.0003,0.0003
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales,0,0,0,0,0,0,0,0,0.0001,0
Bacteria;Proteobacteria;Alphaproteobacteria;RF32,0.0005,0.0023,0.0004,0.0007,0.0004,0.0002,0.0004,0.0003,0.0003,0.0001
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales,0.0011,0.0005,0.0001,0,0,0,0,0,0.0001,0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales,0.0008,0.0007,0.0008,0.0011,0.001,0.0004,0.0055,0.0011,0.0007,0.0007
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales,0.0107,0.0117,0.0102,0.0079,0.0048,0.0051,0.0084,0.0062,0.0058,0.0022
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales,0.001,0.0005,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales,0.0005,0.002,0.0009,0.001,0.0012,0.0012,0.0003,0.0008,0.0005,0.0014
Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales,0.0005,0.0016,0.0003,0.0001,0,0.0005,0.0028,0.0003,0.0007,0.0001
Bacteria;Proteobacteria;Betaproteobacteria;Procabacteriales,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales,0.0108,0.0116,0.0078,0.007,0.0068,0.0082,0.0037,0.0057,0.0085,0.0027
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfarculales,0.0005,0.0006,0.0001,0.0006,0,0.0004,0.0002,0.0001,0.0004,0.0003
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales,0.0105,0.0133,0.0226,0.0144,0.0166,0.0155,0.0132,0.0251,0.0247,0.0325
Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales,0,0,0,0.0001,0,0,0,0,0,0.0296
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales,0.0004,0.0017,0.0016,0.0004,0.001,0.0003,0.0008,0.0002,0.0003,0.0007
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales,0.0005,0.0013,0.0007,0.0011,0.0014,0.005,0.0031,0.0003,0.0013,0.0004
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales,0.0003,0.0022,0.0017,0.0004,0.0014,0.0012,0.0007,0.0002,0.0006,0.0018
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales,0.0004,0.0002,0.0003,0.0039,0.0014,0.0003,0.0001,0.0001,0.0025,0
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales,0,0,0,0,0,0,0,0,0,0
Bacteria;Proteobacteria;TA18;CV90,0,0.0004,0.0001,0,0,0,0.0001,0.0001,0,0.0003
Bacteria;SR1;Other;Other,0.003,0.0087,0.001,0.0019,0.0026,0.0017,0.0009,0.0017,0.0017,0.0008
Bacteria;Spirochaetes;Leptospirae;Leptospirales,0.0014,0.0013,0.0031,0.0017,0.0038,0.0015,0.0007,0.0014,0.0027,0.0008
Bacteria;Spirochaetes;Spirochaetes;Spirochaetales,0.5137,0.3529,0.4981,0.4653,0.2972,0.4069,0.4436,0.4884,0.3985,0.2218
Bacteria;Synergistetes;Synergistia;Synergistales,0.0189,0.0093,0.0087,0.013,0.007,0.0195,0.0062,0.0073,0.0136,0.0027
Bacteria;Tenericutes;Mollicutes;Mycoplasmatales,0.0043,0.0078,0.0062,0.0034,0.0018,0.0017,0.0063,0.0062,0.0075,0.0015
Bacteria;Verrucomicrobia;Methylacidiphilae;Methylacidiphilales,0.0007,0.0013,0.0019,0.0001,0,0,0,0.0001,0.0004,0.0001
Bacteria;Verrucomicrobia;Opitutae;Other,0.0001,0,0.0001,0.0002,0,0,0,0,0,0.0001
Bacteria;Verrucomicrobia;Opitutae;HA64,0.0007,0.0018,0.0015,0.0013,0.0004,0.0009,0.0017,0.0006,0.0009,0.0003
Bacteria;Verrucomicrobia;Opitutae;Opitutales,0.0001,0,0.0003,0.0002,0.0008,0.0001,0,0.0001,0,0
Bacteria;Verrucomicrobia;Spartobacteria;Chthoniobacterales,0.0011,0.0014,0.0017,0.0005,0,0.0002,0,0.0005,0.0001,0.0001
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales,0,0,0,0,0.001,0,0,0,0,0
Bacteria;ZB3;Rs-J96;Other,0.0007,0.0002,0.0009,0.0006,0.002,0.0001,0.0001,0.0007,0.0007,0.0004
Unassigned;Other;Other;Other,0.0187,0.0199,0.0208,0.0181,0.0212,0.0127,0.0115,0.0186,0.0186,0.0073
Birch,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Cardboard,0,0,0,0,0,0,0,0,0,0
Maple,0,0,0,0,0,0,0,0,0,0
Oak,0,0,0,0,0,0,0,0,0,0
Original Mulch,0,0,0,0,0,0,0,0,0,0
Spruce,0,0,0,0,0,0,0,0,0,0
